,Gene index,Importance,Gene name
698,698,0.013444657366850757,TRIB1
5080,5080,0.012670399049148948,SMARCD3
10583,10583,0.012210460154156605,ADAP2
2743,2743,0.010168172268907563,RNASE1
15360,15360,0.0072268907563025194,DSC2
1063,1063,0.006740740740740742,HMGB2
8884,8884,0.006615384615384617,ACVR2A
10781,10781,0.006486802413273002,FASLG
9954,9954,0.006442786069651742,HIST1H2BD
6439,6439,0.006329740323370896,FPR1
231,231,0.0061798642533936665,HIST1H2BK
14043,14043,0.00597093023255814,SLC5A9
10329,10329,0.005831578947368421,IMPA2
12964,12964,0.005799839228295817,TRPM8
388,388,0.005772232734153262,IFI27
13955,13955,0.005772232734153262,DDR2
8450,8450,0.005739644970414202,PHC2
5096,5096,0.0057187720536344385,ACSL1
8968,8968,0.0057047909166435895,SLC1A3
11943,11943,0.005660629921259842,ZBTB6
9102,9102,0.005647792022792023,NCF4
3482,3482,0.005574947543276797,SLC25A37
116,116,0.005568080357142858,TKT
14439,14439,0.00549089068825911,PFKFB4
15867,15867,0.005480103806228373,FAM151B
62,62,0.005449860724233983,S100A8
14453,14453,0.00544867724867725,ZSCAN21
13331,13331,0.005416666666666668,SMAD7
6292,6292,0.005416666666666668,NFATC2
10105,10105,0.0053553511705685605,ECM1
12183,12183,0.005304477611940297,NOG
4167,4167,0.005301296720061023,SLC11A1
377,377,0.005298773248911752,CEP350
8764,8764,0.005276073619631902,SRGAP1
7953,7953,0.005195273631840795,C3AR1
9764,9764,0.00516967032967033,MBOAT2
543,543,0.005097826086956522,CD63
5089,5089,0.005080745341614906,ASPH
559,559,0.005078163165608207,RNASE2
12296,12296,0.005077626683203402,RAB13
11657,11657,0.005012711864406782,KRTAP5-AS1
15939,15939,0.005007070135746607,TNFAIP6
8655,8655,0.005004097976770327,CEACAM1
4769,4769,0.004972375690607735,NBN
13399,13399,0.004928608470181504,TULP2
14137,14137,0.004921836834391792,ACOX2
5219,5219,0.004920646067415731,BHLHE40
16808,16808,0.0049192546583850935,ACHE
3034,3034,0.004912280701754385,PIK3R1
6855,6855,0.004899999999999999,UAP1L1
281,281,0.00480670426065163,RAB31
5224,5224,0.004797596670247045,RAB3D
2397,2397,0.004796875000000001,PYGL
3284,3284,0.004791086350974928,SH3BGRL2
2813,2813,0.004779761904761905,ESYT2
2300,2300,0.004775059194948698,TAF1C
17046,17046,0.00477268656716418,FAM225A
4968,4968,0.004752000000000001,TRAPPC10
5370,5370,0.0046987032799389785,STAM2
12139,12139,0.004659385813148789,RAB6B
13972,13972,0.004657142857142857,PINK1-AS
1854,1854,0.004646090097747555,GSN
7755,7755,0.004613915715539948,SV2C
2335,2335,0.004607451265389878,SERPINA1
9723,9723,0.004602472774911978,RAB21
12846,12846,0.004593023255813952,LDLRAD3
5125,5125,0.004583333333333333,FKBP5
8105,8105,0.0045833333333333325,AFAP1
14713,14713,0.004568901989683126,CPE
8554,8554,0.004550139275766017,PGF
12248,12248,0.004481790129159814,GRB10
13865,13865,0.004474466109563601,HLX
13054,13054,0.0044735576923076925,SOWAHC
2471,2471,0.004464,UBL3
3921,3921,0.004427966101694916,CCDC47
6917,6917,0.004427668539325844,PHLDB2
12209,12209,0.004415981198589894,GFPT2
15776,15776,0.004415277777777778,PID1
10665,10665,0.004409155261915998,C9orf72
12731,12731,0.0044,MYRFL
14390,14390,0.004396678065461652,NGFR
11492,11492,0.004396008403361344,THBD
11638,11638,0.004389558232931728,ZNF610
11152,11152,0.00438930544593528,FES
11647,11647,0.004382142857142856,SH2D4A
13587,13587,0.004381211180124224,ENC1
9149,9149,0.004366295264623957,LYPLAL1
13644,13644,0.004365373134328358,RORB
446,446,0.004342105263157895,HNRNPC
13223,13223,0.004320165365181444,ZCCHC14
2371,2371,0.004275,PARP4
4414,4414,0.004272463768115941,NLRC4
4989,4989,0.004269662921348314,IGKV3-20
13564,13564,0.004260869565217391,THAP1
1814,1814,0.004260355029585799,PPP2CB
8584,8584,0.004258620689655172,PLIN3
13985,13985,0.00424509033778476,PPP1R17
3786,3786,0.00424508426966292,YPEL4
8960,8960,0.0042441860465116275,BCL6
8592,8592,0.0042157303370786514,MEG3
14012,14012,0.0042152524167561765,TAF9B
1727,1727,0.004210526315789474,TK1
8287,8287,0.004200160771704182,FGF9
15831,15831,0.0041988950276243085,OLAH
13646,13646,0.004186390532544378,CENPA
6265,6265,0.004168421052631578,WDR91
854,854,0.004168421052631578,CD163
8520,8520,0.004163987138263664,MSRB2
4682,4682,0.004153396788163118,C5orf30
12751,12751,0.004124497991967872,FITM2
12743,12743,0.004093179634966379,MATK
1937,1937,0.004089180050718513,ZMPSTE24
4509,4509,0.004077560240963855,UBASH3B
4336,4336,0.004074074074074074,ARNTL
6150,6150,0.004058734939759037,SMURF2
10307,10307,0.004030714285714286,TAF13
1177,1177,0.0040290697674418615,SNX19
4286,4286,0.004018095238095238,NLRP12
12779,12779,0.003991228070175438,VSIG4
16837,16837,0.003991115196078432,NCR1
8526,8526,0.003985507246376811,FOSL2
3803,3803,0.0039754984386259915,KLF7
4771,4771,0.0039680232558139536,SLU7
12011,12011,0.003960000000000001,TRBV7-6
1096,1096,0.0039452173913043466,MSH3
1325,1325,0.003938188494492043,MAN1C1
3779,3779,0.0039322191272052,MRPS18A
5966,5966,0.003929858708189158,TRIM58
3040,3040,0.003926355642403517,ABCA13
1597,1597,0.0038925373134328363,MSRB1
2781,2781,0.0038888888888888888,PLBD1
49,49,0.00384114211550941,IGLC2
2940,2940,0.00384,FOXO3
11812,11812,0.0038377777777777785,ANKH
6214,6214,0.0037806026365348393,CYP1B1
15699,15699,0.003774952919020716,GLS2
14302,14302,0.003774509803921568,EDN3
12668,12668,0.0037618429591174556,PGBD1
1550,1550,0.00375857843137255,PAFAH2
11808,11808,0.0037394285714285715,TTYH3
15908,15908,0.0037125,DDX43
12815,12815,0.0036767955801104975,CTAGE15
3978,3978,0.0036446379105658884,TRAF1
6253,6253,0.003625730994152048,UBIAD1
6680,6680,0.003618421052631579,TNKS2
12240,12240,0.003557213930348259,DTHD1
1220,1220,0.003549859550561797,RAF1
16201,16201,0.003539325842696629,ZNF564
9870,9870,0.003471961152882206,ADO
3655,3655,0.0034544447521462195,GFPT1
9155,9155,0.0034375,FLAD1
8834,8834,0.0034236311239193083,TRAV13-1
14447,14447,0.0033846153846153844,KCNH8
8485,8485,0.0033742331288343554,EVI2A
325,325,0.0033637873754152827,SYTL3
17106,17106,0.0033380052151238586,LDHC
3273,3273,0.00330827067669173,UPP1
3626,3626,0.003306748466257668,TLE4
3344,3344,0.003301282051282052,DLG3
15347,15347,0.0032640097459101973,TXNDC2
10718,10718,0.0032592592592592586,HEY2
8656,8656,0.0032056531356664665,GYG1
8943,8943,0.003187086092715232,FLRT2
12224,12224,0.003187086092715232,STAC
2195,2195,0.003152238805970149,SLC30A7
714,714,0.0031359999999999995,REC8
741,741,0.003092369477911646,SSR1
12002,12002,0.0030470914127423833,TBC1D3C
2582,2582,0.0030470914127423833,SORT1
7597,7597,0.0030219780219780217,YWHAG
10853,10853,0.002988059701492538,TMCO3
12426,12426,0.002934336525307798,PTGDS
4446,4446,0.0029083431257344292,SLC15A3
15508,15508,0.002830882352941177,CDHR1
3812,3812,0.0028039215686274503,BLVRA
10721,10721,0.002773109243697479,TNFRSF10A
14978,14978,0.002768394648829432,SEC61A2
5516,5516,0.0027421874999999994,SUPV3L1
8596,8596,0.0027364864864864863,ELK3
16588,16588,0.0027348531211750303,AKAP2
1054,1054,0.0027131696428571426,ZDHHC7
1476,1476,0.0026950000000000003,MADD
13868,13868,0.0026756756756756758,LEP
1934,1934,0.0026286764705882354,TPM2
8634,8634,0.002628676470588235,LINC01137
8581,8581,0.0025733944954128437,ABI1
1108,1108,0.0025044642857142856,PLS3
5746,5746,0.002493222891566265,FOXN2
14837,14837,0.0024886877828054297,FERMT2
4454,4454,0.0024534313725490193,SLC16A6
2524,2524,0.002426470588235294,TP53INP1
10108,10108,0.002422816265060241,SFXN3
7250,7250,0.0024000000000000002,KDSR
13449,13449,0.0023905511811023626,SLC13A2
4140,4140,0.002293103448275862,PRR5L
6458,6458,0.0022922074091552623,UBA6
2665,2665,0.0022551751592356684,ENTPD1
8874,8874,0.0022343750000000002,ZNF530
10175,10175,0.0022164179104477615,WASF1
2523,2523,0.0021153846153846153,CX3CR1
241,241,0.002037037037037037,SAMD9
13181,13181,0.002037037037037037,ADAMTS2
9708,9708,0.0019488188976377956,PIGA
6391,6391,0.0019451461566221582,PEX11B
1836,1836,0.0019310344827586211,IRAK3
5250,5250,0.0019031141868512103,GALNT11
217,217,0.0018917197452229307,UBE2J1
14375,14375,0.0018637048192771085,RAB36
9126,9126,0.001855421686746988,MARC1
6002,6002,0.0018491834774255526,DDX55
7722,7722,0.0018250377073906487,HAUS2
8814,8814,0.0018186773255813957,G6PD
4928,4928,0.0018158730158730158,TRBV5-1
13215,13215,0.0017904725992961292,SERINC2
5304,5304,0.0017785399314061733,CYSLTR1
3896,3896,0.0017670682730923696,KARS
9163,9163,0.0017540751240255137,CCDC59
5233,5233,0.0017111111111111114,MIDN
8713,8713,0.0017078334509527168,POTEG
10706,10706,0.0016874999999999998,POU5F1
10133,10133,0.0016541353383458652,DUSP14
5256,5256,0.0016313559322033897,ADI1
9134,9134,0.0016176470588235292,LGALS3BP
5299,5299,0.0016163265306122455,PDS5B
16055,16055,0.0016158192090395482,HCG20
9293,9293,0.001593314763231198,NUBPL
12802,12802,0.0015789473684210528,TCP11L2
4038,4038,0.0015779761904761902,QPCT
12235,12235,0.0015761194029850745,DPEP3
2713,2713,0.0015730337078651688,PALB2
9427,9427,0.0015697674418604652,CLIP3
12704,12704,0.0015427114322141946,SOCS1
3392,3392,0.0015158474965548923,PPP4C
4648,4648,0.0015085714285714283,RALGAPA2
11764,11764,0.0014666666666666665,CSRNP2
10700,10700,0.001455882352941177,NAA35
11139,11139,0.0014389534883720927,SYNJ2BP
11545,11545,0.0013496932515337423,ZBED5
5952,5952,0.001349693251533742,ZC3H7A
9736,9736,0.0012478991596638655,CCNC
12001,12001,0.0011554621848739498,HPGD
1742,1742,0.001118222891566265,PTPDC1
11830,11830,0.001114864864864865,IL17RC
16533,16533,0.0010484949832775918,AC005009.2
14444,14444,0.0010406811731315045,PLD6
7459,7459,0.0010406811731315045,LSM5
12353,12353,0.0010245098039215683,ZNF469
8011,8011,0.0010149942329873126,EID2
5267,5267,0.0010149942329873126,TMED5
6289,6289,0.0009954751131221716,DCAF4
13502,13502,0.0009891345073061073,CABP4
5271,5271,0.000963375796178344,GGH
16379,16379,0.0009586056644880175,KRBOX1-AS1
8398,8398,0.0009453125000000001,FRAT2
5531,5531,0.0009401709401709397,CDK1
10561,10561,0.0009344030202925903,ST14
1827,1827,0.0009344030202925903,DUSP3
6429,6429,0.0009275793650793654,DCUN1D1
8785,8785,0.0009271290605794559,SV2A
14969,14969,0.0009194029850746273,SYNGAP1
14018,14018,0.0009166666666666669,PINLYP
660,660,0.000915310650887574,SUGT1
11212,11212,0.0009119897959183675,ZSCAN16
9344,9344,0.0008907807308970103,KLHL18
5603,5603,0.0008906882591093115,DNAH10
10893,10893,0.0008875739644970415,EXOC3L2
3506,3506,0.0008839285714285715,LMAN2L
9018,9018,0.0008771929824561403,DPH5
10690,10690,0.0008756218905472638,PIK3R2
3384,3384,0.0008703296703296701,NEFM
10079,10079,0.0008619402985074628,ZSWIM5
399,399,0.0008619402985074628,CYBB
12656,12656,0.0008556611927398441,HBEGF
3641,3641,0.0008511904761904763,IRF4
16343,16343,0.000848571428571429,IPO9-AS1
1902,1902,0.0008426966292134834,NDUFA11
3354,3354,0.0008426183844011144,TSHZ2
3365,3365,0.0008414789630259241,ARL6IP5
9926,9926,0.0008407643312101909,PVT1
3427,3427,0.000838095238095238,FKBP8
13557,13557,0.0008368554522400678,RFX8
12510,12510,0.0008356353591160222,SH2B2
13015,13015,0.0008356353591160222,XK
5197,5197,0.0008342696629213488,UXT
8084,8084,0.0008342696629213487,TIMM17A
4798,4798,0.0008342696629213487,FRMPD3
1194,1194,0.0008287292817679559,NCOR2
13068,13068,0.0008286252354048964,ZNF776
7276,7276,0.0008286252354048964,VAC14-AS1
1527,1527,0.0008277591973244149,MOB1B
10694,10694,0.000825,C8orf82
8613,8613,0.000825,PSMD10
10086,10086,0.000825,MINPP1
16535,16535,0.000825,HPD
13170,13170,0.0008222591362126248,ARHGEF19
1876,1876,0.0008208955223880599,RAB27B
6762,6762,0.000818452380952381,GALT
6713,6713,0.0008136094674556213,PIEZO1
2299,2299,0.0008088235294117646,BAG1
9277,9277,0.000804093567251462,ITGB2-AS1
6683,6683,0.0007994186046511628,PLXNB1
8475,8475,0.0007882165605095542,USP19
16489,16489,0.0007880597014925373,LDLRAD4-AS1
3266,3266,0.0007734375,ATRN
8950,8950,0.0007734374999999999,WDHD1
7196,7196,0.0007586206896551724,CPED1
2086,2086,0.0007586206896551724,ARFGAP2
14050,14050,0.0007454819277108435,B3GNT9
4428,4428,0.0007388059701492538,QSER1
2674,2674,0.000718954248366013,FXYD5
8290,8290,0.0006984126984126983,SLC26A4
12526,12526,0.000674846625766871,TFPT
15979,15979,0.0006626506024096384,KCNIP4
2370,2370,0.0006395348837209303,COPS7A
8284,8284,0.0006340057636887609,TMEM71
4537,4537,0.0006179775280898876,KCNJ2
14120,14120,0.000611111111111111,CHRNA7
1405,1405,0.0005392156862745099,GPCPD1
3341,3341,0.0004969879518072289,KIAA2013
3756,3756,0.0004714285714285715,MCM4
6240,6240,0.00046610169491525426,ARSA
